channel,success_ratio,protocol,seed,class,jitter_ms_mean
lossy,0.85,RPL_STANDARD,20260502,2,4822.739
lossy,0.85,RPL_STANDARD,20260502,3,4103.842
lossy,0.85,RPL_MQOS,20260502,0,7938.212
lossy,0.85,RPL_MQOS,20260502,1,6835.512
lossy,0.85,RPL_MQOS,20260502,2,4822.854
lossy,0.85,RPL_MQOS,20260502,3,4104.242
lossy,0.85,RPL_AER,20260502,0,7938.152
lossy,0.85,RPL_AER,20260502,1,6834.988
lossy,0.85,RPL_AER,20260502,2,4822.717
lossy,0.85,RPL_AER,20260502,3,4103.735
lossy,0.85,AER_MQOS,20260502,0,7974.949
lossy,0.85,AER_MQOS,20260502,1,7082.899
lossy,0.85,AER_MQOS,20260502,2,4945.059
lossy,0.85,AER_MQOS,20260502,3,4122.925
lossy,0.85,RPL_STANDARD,20260503,0,14232.702
lossy,0.85,RPL_STANDARD,20260503,1,8253.925
lossy,0.85,RPL_STANDARD,20260503,2,8778.505
lossy,0.85,RPL_STANDARD,20260503,3,6838.151
lossy,0.85,RPL_MQOS,20260503,0,14232.364
lossy,0.85,RPL_MQOS,20260503,1,8253.962
lossy,0.85,RPL_MQOS,20260503,2,8778.435
lossy,0.85,RPL_MQOS,20260503,3,6759.552
lossy,0.85,RPL_AER,20260503,0,14232.488
lossy,0.85,RPL_AER,20260503,1,8254.042
lossy,0.85,RPL_AER,20260503,2,8778.395
lossy,0.85,RPL_AER,20260503,3,6759.46
lossy,0.85,AER_MQOS,20260503,0,14232.463
lossy,0.85,AER_MQOS,20260503,1,8253.934
lossy,0.85,AER_MQOS,20260503,2,8778.385
lossy,0.85,AER_MQOS,20260503,3,6708.08
lossy,0.85,RPL_STANDARD,20260504,0,7148.336
lossy,0.85,RPL_STANDARD,20260504,1,5400.056
lossy,0.85,RPL_STANDARD,20260504,2,5419.608
lossy,0.85,RPL_STANDARD,20260504,3,4667.931
lossy,0.85,RPL_MQOS,20260504,0,8201.457
lossy,0.85,RPL_MQOS,20260504,1,6204.294
lossy,0.85,RPL_MQOS,20260504,2,6227.145
lossy,0.85,RPL_MQOS,20260504,3,5363.091
lossy,0.85,RPL_AER,20260504,0,7456.784
lossy,0.85,RPL_AER,20260504,1,5519.262
lossy,0.85,RPL_AER,20260504,2,5628.054
lossy,0.85,RPL_AER,20260504,3,4928.74
lossy,0.85,AER_MQOS,20260504,0,7178.663
